School,City,State,Lat,Lng,place_id,Zip Code
PARKVIEW-METHODIST SCHOOL OF NURSING,FORT WAYNE,IN,41.079273,-85.1393513,ChIJtwadQqrkFYgR53Rr65MG6P0,46805
PURDUE UNIVERSITY,WEST LAFAYETTE,IN,40.4258686,-86.90806549999999,ChIJBwU-Qjf9EogRjnwai8-yzI4,47907
PURDUE UNIVERSITY-CALUMET,HAMMOND,IN,41.5833688,-87.5000412,ChIJMbkEUhHeEYgRN2kVcuCgh3s,46323
PURDUE UNIVERSITY-NORTH CENTRAL CAMPUS,WESTVILLE,IN,41.54142969999999,-86.9005825,ChIJueB37ZkKEYgRoBLi1HMhb4A,46391
ROSE-HULMAN INSTITUTE OF TECH,TERRE HAUTE,IN,39.4667034,-87.41390919999999,ChIJNzdwG0JubYgRpOFaMIB2RJY,47803
ST ELIZABETH SCHOOL OF NURSING,LAFAYETTE,IN,40.4167022,-86.87528689999999,ChIJJRNgSzQdE4gRroN6mU3J-4s,47904
ST FRANCIS COLLEGE,FORT WAYNE,IN,41.079273,-85.1393513,ChIJmThsehHkFYgRcW8POZ-aPiU,46808
ST JOSEPH'S COLLEGE,RENSSELAER,IN,40.9367045,-87.15085619999999,ChIJa8kQbDA_EogRaj5xfkug230,47978
ST MARY-OF-THE-WOODS COLLEGE,ST MARY-OF-THE-WOODS,IN,39.5107254,-87.46697290000002,ChIJ2aG184djbYgRJENCCKWfg1Q,47876
ST MARY'S COLLEGE,SOUTH BEND,IN,41.6763545,-86.25198979999999,ChIJ_____zLNFogRmm0FZ7qHwAI,46556
SUMMIT CHRISTIAN COLLEGE,FORT WAYNE,IN,41.079273,-85.1393513,ChIJW7S1gajlFYgRIIvjn8rIID8,46807
TAYLOR UNIVERSITY,UPLAND,IN,40.4755974,-85.4944168,ChIJR-fZ9RcEFYgRswQNYKaH62E,46989
TRI-STATE UNIVERSITY,ANGOLA,IN,41.6347726,-84.9994088,ChIJEW2iilo_a4gRz6hvwrKy5oY,46703
UNIVERSITY OF EVANSVILLE,EVANSVILLE,IN,37.9715592,-87.5710898,ChIJjzLRQKIqbogR7AOQfl9w7TY,47722
UNIVERSITY OF INDIANAPOLIS,INDIANAPOLIS,IN,39.768403,-86.158068,ChIJIVAV5apba4gRx0uKXDFS38M,46227
UNIVERSITY OF NOTRE DAME,SOUTH BEND,IN,41.6763545,-86.25198979999999,ChIJUe6QWPnLFogRinKUEbLx5oY,46556
UNIVERSITY OF SOUTHERN INDIANA,EVANSVILLE,IN,37.9715592,-87.5710898,ChIJc1S25M7ScYgRzQ1gMnNAqQI,47712
VALPARAISO UNIVERSITY,VALPARAISO,IN,41.4730948,-87.0611412,ChIJ2zyuvGqaEYgRGLo8A2GYSGY,46383
VINCENNES UNIVERSITY,VINCENNES,IN,38.677269,-87.5286325,ChIJcWktmGz_bYgRRK9-5z_VLOg,47591
WABASH COLLEGE,CRAWFORDSVILLE,IN,40.0411536,-86.87445160000001,ChIJNVUiARzWEogRr5iXPdfL5os,47933
