Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
46128,2000.0,43.8,65833.0,26717.0,124.0,6.2
46131,32371.0,38.5,60988.0,29153.0,3633.0,11.223008248123321
46133,742.0,49.3,61420.0,26364.0,73.0,9.838274932614555
46160,6535.0,48.4,58000.0,30585.0,836.0,12.79265493496557
46163,12768.0,42.5,90330.0,37601.0,575.0,4.50344611528822
46165,1477.0,50.0,62201.0,33495.0,63.0,4.265402843601896
46181,4788.0,42.6,73090.0,34039.0,207.0,4.323308270676692
46182,1433.0,52.6,54063.0,31052.0,67.0,4.675505931612003
46186,1759.0,44.5,69750.0,30535.0,226.0,12.848209209778283
46208,23081.0,30.7,34083.0,26399.0,6622.0,28.690264719899485
46219,37006.0,39.5,39772.0,24112.0,7098.0,19.180673404312813
46239,29584.0,34.3,72884.0,28110.0,1898.0,6.415630070308275
46241,31273.0,31.6,38102.0,17879.0,8361.0,26.73552265532568
46280,7490.0,41.0,62119.0,33920.0,655.0,8.744993324432576
46815,28548.0,37.1,54746.0,26851.0,2462.0,8.624071738825837
46803,9378.0,29.6,22023.0,11975.0,4419.0,47.12092130518234
47036,959.0,48.4,96667.0,34407.0,91.0,9.489051094890511
47060,5869.0,45.0,74394.0,33393.0,273.0,4.651559039018572
47120,725.0,29.4,56917.0,19183.0,185.0,25.517241379310345
47136,4711.0,43.1,69534.0,31091.0,119.0,2.526002971768202
47959,2898.0,37.0,44406.0,19636.0,583.0,20.117322291235336
47964,111.0,47.1,39688.0,20417.0,8.0,7.207207207207207
47968,1123.0,36.6,64688.0,26687.0,158.0,14.069456812110419
47993,3683.0,43.7,57337.0,27029.0,379.0,10.29052402932392
47143,3012.0,36.3,77331.0,34948.0,129.0,4.282868525896414
47164,4101.0,46.8,46875.0,26357.0,643.0,15.67910265788832
47167,14659.0,40.6,43731.0,23450.0,2061.0,14.05962207517566
47223,1195.0,45.6,56591.0,29473.0,67.0,5.606694560669456
47229,3122.0,38.3,46840.0,24856.0,250.0,8.00768737988469
47234,1622.0,42.6,59115.0,27534.0,22.0,1.3563501849568433
47246,4339.0,40.8,63315.0,28610.0,202.0,4.655450564646232
47264,1315.0,48.3,54079.0,26469.0,157.0,11.939163498098859
46804,28780.0,40.4,69605.0,39550.0,2015.0,7.001389854065323
46808,19386.0,33.8,39563.0,22467.0,3189.0,16.450015475085113
46917,1657.0,44.4,48563.0,24742.0,250.0,15.087507543753771
46920,1085.0,40.6,64875.0,29436.0,66.0,6.082949308755761
46928,4477.0,42.4,47332.0,23790.0,656.0,14.652669198123744
46554,4963.0,43.8,58073.0,27312.0,410.0,8.261132379609107
46555,2559.0,52.4,50417.0,30878.0,119.0,4.650254005470887
46574,9369.0,43.7,58368.0,27188.0,810.0,8.645533141210375
46590,4921.0,30.6,63157.0,27979.0,364.0,7.396870554765291
46706,18298.0,40.7,54368.0,29877.0,1500.0,8.197617225926331
46723,7878.0,40.5,62561.0,32656.0,567.0,7.197258187357197
46730,1021.0,50.8,62386.0,31768.0,75.0,7.345739471106758
46773,3351.0,42.4,62143.0,27888.0,163.0,4.864219635929573
46774,17456.0,37.3,55613.0,23888.0,1435.0,8.220669110907425
46788,3618.0,34.4,66471.0,31461.0,617.0,17.053620784964068
46791,1104.0,39.8,64833.0,33174.0,81.0,7.336956521739131
46798,1490.0,44.8,61250.0,29949.0,60.0,4.026845637583893
46835,34749.0,36.2,61052.0,30863.0,3484.0,10.026187803965582
46901,40357.0,40.1,46503.0,24598.0,7542.0,18.688207745868127
46902,35403.0,42.2,50685.0,27945.0,5421.0,15.312261672739599
46051,2756.0,43.6,52955.0,31156.0,308.0,11.175616835994195
46064,17493.0,38.5,79802.0,28930.0,850.0,4.859086491739553
46074,33114.0,34.7,98643.0,40872.0,1914.0,5.780032614604095
46124,8564.0,38.4,52917.0,23658.0,1322.0,15.436711816907987
46155,185.0,31.4,52311.0,21625.0,0.0,0.0
46161,2958.0,42.0,75438.0,29940.0,162.0,5.476673427991886
46164,4420.0,46.0,76000.0,36809.0,506.0,11.447963800904978
46167,6572.0,39.6,80350.0,36691.0,165.0,2.5106512477175897
46375,23484.0,44.7,72690.0,39330.0,719.0,3.061659001873616
46403,13567.0,40.6,38496.0,23849.0,3795.0,27.972285693226212
46504,3669.0,38.7,54650.0,24410.0,278.0,7.576996456800218
46539,2540.0,38.7,52143.0,24851.0,260.0,10.236220472440944
46552,6846.0,41.1,61016.0,32226.0,735.0,10.736196319018404
46561,13593.0,37.1,74298.0,26785.0,1133.0,8.33517251526521
46345,177.0,40.4,50938.0,18683.0,63.0,35.59322033898305
46738,8544.0,36.8,44086.0,23363.0,1405.0,16.44428838951311
46745,2120.0,43.3,55993.0,26807.0,152.0,7.169811320754717
46755,15253.0,39.7,48977.0,24430.0,1286.0,8.431128302628991
46772,3044.0,24.0,51638.0,17697.0,753.0,24.73718791064389
46779,2147.0,36.0,57315.0,25179.0,132.0,6.1481136469492315
46725,23361.0,42.1,61564.0,29338.0,2233.0,9.558666152990027
46733,18715.0,38.9,53204.0,25762.0,2101.0,11.226289072936147
46750,26478.0,39.7,49788.0,24368.0,2698.0,10.189591358863963
46763,1838.0,37.6,62417.0,28914.0,172.0,9.357997823721437
46770,2992.0,39.5,62156.0,26442.0,370.0,12.366310160427808
46785,1503.0,33.6,63534.0,25331.0,195.0,12.974051896207586
46805,21207.0,35.1,43056.0,24405.0,3798.0,17.90918093082473
46058,2248.0,45.6,73013.0,32289.0,114.0,5.0711743772241995
46063,502.0,41.8,44688.0,21146.0,49.0,9.760956175298805
46107,12914.0,40.4,42370.0,23425.0,2026.0,15.68840018584482
46142,29871.0,37.9,72999.0,35638.0,2249.0,7.5290415453115065
46144,148.0,52.5,55982.0,28578.0,0.0,0.0
46150,934.0,43.1,56528.0,27592.0,152.0,16.27408993576017
46168,34478.0,38.9,67157.0,31687.0,2278.0,6.607111781425837
46172,2293.0,44.6,55577.0,28954.0,342.0,14.914958569559529
46203,39227.0,34.0,37598.0,20268.0,10254.0,26.14015856425421
46222,36414.0,29.1,33064.0,15446.0,12292.0,33.756247597078044
46224,37464.0,30.8,36063.0,17860.0,11472.0,30.62139654067905
46226,46110.0,34.5,34734.0,18975.0,11680.0,25.330730860984602
