,NAME,ADDRESS,CITY,STATE,ZIP,LEVEL,ENROLLMENT,START_GRADE,END_GRADE,DISTRICT_ID
823,WAYNE HIGH SCHOOL,9100 WINCHESTER RD,FORT WAYNE,IN,46819,3,1271,09,12,1803630
824,CENTER GROVE ELEM SCHOOL,2455 S MORGANTOWN RD,GREENWOOD,IN,46143,1,759,PK,05,1801440
825,VIENNA-FINLEY ELEM SCH,445 IVAN ROGERS DR,SCOTTSBURG,IN,47170,1,310,KG,05,1810020
826,NORTHWESTERN SR HIGH SCH,3431 N 400 W,KOKOMO,IN,46901,3,556,09,12,1802040
827,INDIAN CREEK MIDDLE SCHOOL,801 W INDIAN CREEK DR,TRAFALGAR,IN,46181,2,445,06,08,1807620
828,COWAN HIGH SCHOOL,9401 S NOTTINGHAM,MUNCIE,IN,47302,3,374,07,12,1807020
829,WEST VIGO MIDDLE SCHOOL,4750 W SARAH MYERS DR,WEST TERRE HAUTE,IN,47885,2,454,06,08,1812090
830,INDIANA VIRTUAL SCHOOL,1111 E 54TH ST STE 144,INDIANAPOLIS,IN,46220,4,451,06,12,1800106
831,NEWTON YOST ELEMENTARY SCHOOL,100 W BEAM ST,PORTER,IN,46304,1,377,KG,04,1802800
832,COVINGTON ELEMENTARY SCHOOL,2430 W HAMILTON RD,FORT WAYNE,IN,46814,1,758,KG,05,1800030
833,NORTH HARRISON HIGH SCHOOL,1070 HWY 64 NW,RAMSEY,IN,47166,3,660,09,12,1800690
834,SOUTHRIDGE HIGH SCHOOL,1110 S MAIN ST,HUNTINGBURG,IN,47542,3,554,09,12,1810870
835,SOUTH ADAMS ELEM SCHOOL,1012 STARFIRE WAY,BERNE,IN,46711,1,606,PK,05,1810260
836,PATRICKSBURG ELEMENTARY SCH,HWY 246,PATRICKSBURG,IN,47455,1,170,KG,06,1810950
837,SOUTHWICK ELEMENTARY SCHOOL,6500 WAYNE TRACE,FORT WAYNE,IN,46816,1,541,PK,02,1802850
838,WEST CLAY ELEMENTARY,3495 W 126 ST,CARMEL,IN,46032,1,712,KG,05,1801200
839,ELWOOD JR-SR HIGH SCHOOL,1137 N 19TH ST,ELWOOD,IN,46036,3,658,07,12,1803300
840,KNOX COMMUNITY MIDDLE SCHOOL,901 S MAIN ST,KNOX,IN,46534,2,449,06,08,1805340
841,NORTH SIDE HIGH SCHOOL,475 E STATE ST,FORT WAYNE,IN,46805,3,1806,09,12,1803630
842,PARKVIEW PRIMARY SCHOOL,1701 BRIAN LANE WAY,BEDFORD,IN,47421,1,287,PK,02,1807860
843,SOUTHSIDE ELEMENTARY SCHOOL,1515 S MONROE ST,HARTFORD CITY,IN,47348,1,420,KG,03,1800570
844,BROOKVILLE ELEMENTARY SCHOOL,10160 OXFORD PIKE,BROOKVILLE,IN,47012,1,494,PK,04,1803700
845,HENRYVILLE ELEMENTARY SCHOOL,215 N FERGUSON ST,HENRYVILLE,IN,47126,1,647,PK,06,1809370
846,UNION JUNIOR & HIGH SCHOOL,8707 W US HWY 36   148,MODOC,IN,47358,3,174,07,12,1811730
847,WATERFORD ELEMENTARY SCHOOL,65560 SR 15,GOSHEN,IN,46526,1,457,KG,05,1803930
848,DECATUR CENTRAL HIGH SCHOOL,5251 KENTUCKY AVE,INDIANAPOLIS,IN,46221,3,1690,09,12,1802640
849,L F SMITH ELEMENTARY,4505 WAYCROSS DR,COLUMBUS,IN,47203,1,493,PK,06,1800360
850,GREENFIELD-CENTRAL HIGH SCH,810 N BROADWAY,GREENFIELD,IN,46140,3,1439,09,12,1804050
851,LANESVILLE ELEMENTARY SCHOOL,2725 CRESTVIEW,LANESVILLE,IN,47136,1,359,KG,06,1803720
852,HAGERSTOWN ELEMENTARY SCHOOL,299 N SYCAMORE ST,HAGERSTOWN,IN,47346,1,589,PK,06,1807380
853,SALEM MIDDLE SCHOOL,1001 N HARRISON ST,SALEM,IN,47167,2,463,06,08,1809810
854,VOGEL ELEMENTARY SCHOOL,1500 OAK HILL RD,EVANSVILLE,IN,47711,1,638,KG,06,1803450
855,CELESTINE ELEMENTARY SCHOOL,6748 E MAIN CROSS ST,CELESTINE,IN,47521,1,110,KG,04,1808120
856,EDGEWOOD EARLY CHILDHOOD CNTR,8045 W SR 46,ELLETTSVILLE,IN,47429,1,103,PK,PK,1809480
857,HANOVER CENTRAL MIDDLE SCHOOL,10631 W 141ST ST,CEDAR LAKE,IN,46303,2,513,06,08,1804350
858,BOONE GROVE MIDDLE SCHOOL,325 W 550 S,BOONE GROVE,IN,46302,2,350,06,08,1809180
859,FRANKLIN TOWNSHIP MIDDLE SCHL EAST,10440 INDIAN CRK RD,INDIANAPOLIS,IN,46259,2,1205,06,08,1803750
860,NEW PRAIRIE HIGH SCHOOL,5333 N COUGAR RD,NEW CARLISLE,IN,46552,3,969,09,12,1807560
861,CHARLESTOWN MIDDLE SCHOOL,8804 HIGH JACKSON RD,CHARLESTOWN,IN,47111,2,521,06,08,1803940
862,SOUTHWESTERN ELEMENTARY SCH,273 S MAIN CROSS ST,HANOVER,IN,47243,1,684,PK,05,1810800
863,ELSTON MIDDLE SCHOOL,317 DETROIT ST,MICHIGAN CITY,IN,46360,N,-1,06,08,1806570
864,NIEMANN ELEMENTARY SCHOOL,811 ROYAL RD,MICHIGAN CITY,IN,46360,N,-1,KG,05,1806570
865,WESTVILLE HIGH SCHOOL,207 E VALPARAISO ST,WESTVILLE,IN,46391,3,468,07,12,1807470
866,PERRY MERIDIAN HIGH SCHOOL,401 W MERIDIAN SCHOOL RD,INDIANAPOLIS,IN,46217,3,2256,09,12,1808820
867,HOOSIER ACAD VIRTUAL CHARTER SCH,2855 N FRANKLIN RD,INDIANAPOLIS,IN,46219,4,3342,KG,12,1800081
868,CEDARVILLE ELEMENTARY SCH,12225 HARDISTY RD,FORT WAYNE,IN,46845,1,668,KG,03,1802850
869,BON AIR MIDDLE SCH,2796 APPERSON WAY N,KOKOMO,IN,46901,2,268,06,08,1805370
870,R NELSON SNIDER HIGH SCHOOL,4600 FAIRLAWN PASS,FORT WAYNE,IN,46815,3,1830,09,12,1803630
871,RAYMOND F BRANDES SCHOOL 65,4065 ASBURY ST,INDIANAPOLIS,IN,46227,1,263,PK,06,1804770
872,NORTHVIEW ELEMENTARY SCHOOL,257 NORTHVIEW DR,VALPARAISO,IN,46383,1,312,KG,05,1811970
873,HIGHLAND MIDDLE SCHOOL,2941 41ST ST,HIGHLAND,IN,46322,2,751,06,08,1804560
874,ENLACE ACADEMY,3725 KIEL AVENUE,INDIANAPOLIS,IN,46224,1,202,KG,04,1800137
875,EASTBROOK NORTH ELEMENTARY,504 S FIRST ST,VAN BUREN,IN,46991,1,324,KG,06,1803030
876,DANIEL HALE WILLIAMS ELEM SCH,1320 E 19TH AVE,GARY,IN,46407,1,512,KG,06,1803870
877,WAPAHANI HIGH SCHOOL,10401 E CR 167 S,SELMA,IN,47383,3,391,09,12,1805880
878,WILLIAM HENRY HARRISON HIGH SCH,211 FIELDING RD,EVANSVILLE,IN,47715,3,1039,09,12,1803450
879,GOSHEN MIDDLE SCHOOL,1216 S INDIANA AVE,GOSHEN,IN,46526,4,1485,06,10,1803930
880,HICKORY CENTER ELEMENTARY SCH,3606 BAIRD RD,FORT WAYNE,IN,46818,1,430,KG,05,1808250
881,GEORGE W CARVER SCHOOL 87,2411 INDPLS AVE,INDIANAPOLIS,IN,46208,1,336,PK,08,1804770
882,NORTH ELEMENTARY SCHOOL,440 N 10TH ST,NOBLESVILLE,IN,46060,1,531,KG,05,1807650
883,PRAIRIE VIEW ELEMENTARY SCH,6434 E 700 N,ROLLING PRAIRIE,IN,46371,1,314,KG,05,1807560
884,RIVERVIEW ELEMENTARY SCHOOL,513 W BUCKINGHAM DR,MARION,IN,46952,1,356,KG,04,1806390
885,ALEXANDRIA-MONROE ELEMENTARY,800 N CENTRAL,ALEXANDRIA,IN,46001,1,345,PK,03,1800120
886,RISING SUN HIGH SCHOOL,120 S HENRIETTA ST,RISING SUN,IN,47040,3,232,09,12,1809600
887,CONCORD OX-BOW ELEMENTARY SCH,23525 CR 45,ELKHART,IN,46516,1,501,KG,04,1802400
888,CROTHERSVILLE JR-SR HIGH SCHOOL,109 N PRESTON ST,CROTHERSVILLE,IN,47229,4,253,06,12,1812060
889,UNION COUNTY HIGH SCHOOL,410 E PATRIOT BLVD,LIBERTY,IN,47353,3,492,09,12,1811610
890,NORTHPOINT ELEMENTARY SCH,50800 CHERRY RD,GRANGER,IN,46530,1,575,KG,05,1808760
891,TIMOTHY BALL ELEMENTARY SCH,720 W SUMMIT ST,CROWN POINT,IN,46307,1,492,KG,05,1802490
892,LAWRENCEBURG PRIMARY SCHOOL,400 TIGER BLVD,LAWRENCEBURG,IN,47025,1,480,PK,02,1805700
893,ELMWOOD PRIMARY LEARNING CENTER,515 N WAYNE ST,PERU,IN,46970,1,504,PK,02,1808850
894,BUNCHE ELEMENTARY SCHOOL,1111 GREENE ST,FORT WAYNE,IN,46803,1,242,PK,KG,1803630
895,MADISON-GRANT HIGH SCHOOL,11700 S/E 00 W,FAIRMOUNT,IN,46928,3,416,09,12,1806240
896,NANCY HANKS ELEMENTARY SCH,19260 N SR 162,FERDINAND,IN,47532,1,253,PK,06,1808010
897,WILLIAM A BELL SCH 60 REGGIO ACAD,3330 N PENNSYLVANIA,INDIANAPOLIS,IN,46205,1,355,PK,04,1804770
898,LAWRENCE CENTRAL HIGH SCHOOL,7300 E 56TH ST,INDIANAPOLIS,IN,46226,3,2331,09,12,1805670
899,BRISTOL ELEMENTARY SCHOOL,705 INDIANA AVE,BRISTOL,IN,46507,1,553,PK,06,1803270
900,MORTON SENIOR HIGH SCHOOL,6915 GRAND AVE,HAMMOND,IN,46323,3,1340,09,12,1804320
901,POSTON ROAD ELEMENTARY SCHOOL,139 E POSTON RD,MARTINSVILLE,IN,46151,1,377,KG,05,1806510
902,LEXINGTON ELEMENTARY SCHOOL,7980 E WALNUT ST,LEXINGTON,IN,47138,1,208,KG,05,1810020
903,ARLINGTON ELEMENTARY SCHOOL,7178 US HWY 52,ARLINGTON,IN,46104,1,244,KG,06,1809750
904,EASTBROOK JUNIOR HIGH SCHOOL,560 S 900 E,MARION,IN,46953,2,264,07,08,1803030
905,GOSHEN HIGH SCHOOL,401 LINCOLNWAY EAST,GOSHEN,IN,46526,3,1832,09,12,1803930
906,ARLINGTON HEIGHTS ELEM SCH,700 W PARRISH RD,BLOOMINGTON,IN,47404,1,340,KG,06,1800630
